county_id_num,year,hybrid_county_name,hybrid_prov_name,hybrid_start_year,hybrid_complete_year,new_signoff_year,new_issue_year,new_review_year,new_pilot_year,new_pilot_to_signoff_span,new_pilot_to_complete_span,fobs_analysis_hit,new_v2_hit,old_start_year,old_complete_year,old_completion_rate,old_sat_source,old_source_profile,new_start_year,new_complete_year,new_signoff_year_cy,new_issue_year_cy,new_review_year_cy,new_completion_rate_raw,new_sat_t,hybrid_completion_rate_old,hybrid_completion_rate_new,hybrid_completion_rate,hybrid_rate_source,hybrid_started_t,hybrid_completed_t,hybrid_signedoff_t,hybrid_issued_t,hybrid_reviewed_t,hybrid_sat_t,hybrid_rate_any_t,hybrid_rate_mid_t,hybrid_rate_high_t
110302,2009,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,0.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2010,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,0.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2011,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,2011.0,,,start_year_only,county_year_percent_progress,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2012,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2013,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2014,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2015,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2016,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110302,2017,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110502,2009,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,0.0,0.0,,0.0,,0.0,1,0.0,0.0
110502,2010,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,0.0,0.0,,0.0,,0.0,1,0.0,0.0
110502,2011,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,2011.0,,,start_year_only,county_year_percent_progress,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110502,2012,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110502,2013,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110502,2014,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
110502,2015,,prov_11,2011.0,2021.0,,2021.0,,,,,0,1,,,,,,,2021.0,,2021.0,,,0.0,,0.0,0.0,new_v2_rate,1.0,0.0,,0.0,,0.0,1,0.0,0.0
